"user_id","mov_id"
"1","91622"
"1","6335"
"1","73344"
"1","33725"
"1","2754"
"1","5580"
"1","7570"
"1","26231"
"1","7323"
"1","91500"
"1","2024"
"1","140289"
"1","6064"
"1","8718"
"1","8799"
"1","3706"
"1","247"
"1","68848"
"1","98908"
"1","54962"
"1","4139"
"1","4306"
"1","4644"
"1","3831"
"1","113278"
"1","8808"
"1","4433"
"1","3159"
"1","4240"
"1","328"
"1","5390"
"1","3791"
"1","4564"
"1","3770"
"1","119"
"1","50658"
"1","50158"
"1","36401"
"1","6782"
"1","7573"
"1","149146"
"1","2052"
"1","3861"
"1","5956"
"1","1834"
"1","112940"
"1","74154"
"1","31437"
"2","91622"
"2","2141"
"2","6335"
"2","73344"
"2","33725"
"2","2754"
"2","5580"
"2","7570"
"2","26231"
"2","7323"
"2","91500"
"2","223"
"2","2024"
"2","140289"
"2","6064"
"2","8718"
"2","8799"
"2","3706"
"2","247"
"2","68848"
"2","98908"
"2","54962"
"2","4139"
"2","4306"
"2","4644"
"2","3831"
"2","113278"
"2","8808"
"2","4433"
"2","3159"
"2","4240"
"2","328"
"2","5390"
"2","3791"
"2","4564"
"2","3770"
"2","119"
"2","50658"
"2","50158"
"2","36401"
"2","6782"
"2","7573"
"2","149146"
"2","2052"
"2","3861"
"2","5956"
"2","1834"
"2","112940"
"2","74154"
"2","31437"
"3","91622"
"3","2141"
"3","6335"
"3","73344"
"3","33725"
"3","2754"
"3","5580"
"3","7570"
"3","26231"
"3","7323"
"3","91500"
"3","223"
"3","2024"
"3","140289"
"3","6064"
"3","8718"
"3","8799"
"3","3706"
"3","247"
"3","68848"
"3","98908"
"3","54962"
"3","4139"
"3","4306"
"3","4644"
"3","3831"
"3","113278"
"3","8808"
"3","4433"
"3","3159"
"3","4240"
"3","328"
"3","5390"
"3","3791"
"3","4564"
"3","3770"
"3","119"
"3","50658"
"3","50158"
"3","36401"
"3","6782"
"3","7573"
"3","149146"
"3","2052"
"3","3861"
"3","5956"
"3","1834"
"3","112940"
"3","74154"
"3","31437"
"4","91622"
"4","2141"
"4","6335"
"4","73344"
"4","33725"
"4","2754"
"4","5580"
"4","7570"
"4","26231"
"4","7323"
"4","91500"
"4","223"
"4","2024"
"4","140289"
"4","6064"
"4","8718"
"4","8799"
"4","3706"
"4","68848"
"4","98908"
"4","54962"
"4","4139"
"4","4306"
"4","4644"
"4","3831"
"4","113278"
"4","8808"
"4","4433"
"4","3159"
"4","4240"
"4","328"
"4","5390"
"4","3791"
"4","4564"
"4","3770"
"4","119"
"4","50658"
"4","50158"
"4","36401"
"4","6782"
"4","7573"
"4","149146"
"4","2052"
"4","3861"
"4","5956"
"4","112940"
"4","74154"
"4","31437"
"5","91622"
"5","2141"
"5","6335"
"5","73344"
"5","33725"
"5","2754"
"5","5580"
"5","7570"
"5","26231"
"5","7323"
"5","91500"
"5","223"
"5","2024"
