1,8,90
2,7,17
3,7,16
4,7,120
5,7,25
6,7,140
7,8,64
8,4,24
9,7,21
10,4,79
11,8,46
12,6,21
13,7,16
14,7,24
15,8,59
15,13,59
16,7,48
17,7,51
18,7,218
19,4,378
20,3,111
21,8,226
22,7,73
23,7,77
24,8,56
25,8,15
26,10,14
27,1,59
28,7,357
29,7,50
30,8,25
31,4,22
32,7,44
33,7,115
34,8,51
35,4,10
36,7,27
37,10,9
38,4,35
38,7,35
39,7,35
40,7,50
41,7,130
42,4,211
43,4,44
44,4,23
45,4,221
46,8,18
46,10,18
47,7,107
48,8,22
49,7,10
50,7,126
51,4,164
52,8,73
53,7,10
54,7,15
55,7,12
56,8,24
57,4,204
58,7,49
59,7,59
60,7,15
61,7,18
62,8,167
63,4,110
64,7,237
65,7,25
66,7,150
67,8,21
68,4,529
69,7,19
70,7,51
71,8,21
72,7,20
73,4,124
74,7,159
75,8,35
76,7,52
77,8,19
78,8,34
79,8,40
80,10,118
81,8,13
82,8,115
83,7,73
84,7,165
85,7,30
86,8,31
87,7,11
88,7,33
89,4,478
90,7,33
91,8,205
92,7,10
93,1,56
94,4,22
95,7,70
96,8,37
97,8,22
98,7,36
99,4,23
100,4,85
101,4,25
102,8,24
102,10,24
103,7,174
104,4,181
105,7,362
106,1,25
107,7,17
108,7,47
109,7,64
110,7,29
111,4,463
112,8,27
113,7,92
114,1,23
115,4,51
116,7,34
117,7,72
118,7,15
119,8,98
120,4,10
121,7,26
122,4,117
123,7,34
124,7,23
125,7,158
126,7,16
126,8,16
126,10,16
127,7,12
128,7,11
129,8,76
130,7,13
131,7,41
132,7,177
133,10,18
134,8,17
135,4,121
136,4,43
137,7,76
138,7,10
138,8,10
139,8,110
140,7,353
141,4,99
142,10,19
143,4,60
144,4,55
145,1,11
146,4,12
146,6,12
146,7,12
147,4,13
148,1,31
149,13,55
150,10,15
151,4,38
152,7,41
153,7,111
154,8,22
155,4,26
156,7,216
157,4,13
158,4,10
158,10,10
159,7,57
160,8,176
161,4,25
162,7,35
163,4,12
164,8,32
165,7,34
166,7,84
166,8,84
167,4,99
168,7,63
169,4,145
170,7,24
171,7,34
172,1,10
172,8,10
173,4,12
174,4,28
175,7,15
176,8,18
177,4,392
178,7,38
179,4,30
180,1,10
180,8,10
181,4,50
181,7,50
182,7,489
183,8,45
184,8,62
185,7,22
186,1,95
187,7,140
188,4,23
188,7,23
189,7,11
190,7,36
191,7,53
192,10,13
193,7,22
194,4,11
195,7,111
196,7,16
197,7,17
198,7,128
199,7,209
200,4,174
201,4,58
202,7,227
203,8,20
204,7,43
205,1,14
